HSC,CMP,GMP,B,Mono,MEP,EryA,NK,CD8,CD4,Gran
0610005C13Rik,0,0,0,0,0,1,0,0,0,0,0
0610007P14Rik,116,366,348,77,94,487,95,35,120,80,334
0610009B22Rik,17,93,131,9,21,147,49,4,17,9,105
0610009L18Rik,99,84,51,33,44,34,7,14,32,22,256
0610009O20Rik,104,127,128,20,21,252,100,12,47,28,207
0610010B08Rik,2,2,4,2,2,4,1,0,0,5,2
0610010F05Rik,27,122,141,8,41,121,4,14,7,7,88
0610010K14Rik,434,540,468,164,176,579,288,93,254,177,539
0610011F06Rik,110,191,206,42,35,290,61,40,99,67,202
0610012G03Rik,295,502,542,88,228,651,77,67,205,115,606
0610030E20Rik,183,229,254,117,143,338,77,68,125,151,1224
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0
0610037L13Rik,166,210,209,45,55,248,19,21,90,57,537
0610038B21Rik,0,1,5,0,1,0,0,0,0,1,5
0610039H22Rik,9,9,5,11,0,5,1,0,7,10,22
0610039K10Rik,0,0,1,1,2,0,0,0,0,2,5
0610040B10Rik,6,4,3,1,5,10,1,1,4,0,1
0610040F04Rik,0,0,1,0,0,0,0,1,0,0,3
0610040J01Rik,2,56,74,0,51,5,0,0,0,0,66
0610043K17Rik,11,1,0,0,0,7,7,0,3,0,1
1010001N08Rik,0,0,0,0,0,0,0,0,0,0,0
1110001J03Rik,399,533,611,114,106,613,159,52,208,94,505
1110002L01Rik,0,1,1,2,1,1,0,1,3,2,7
1110004E09Rik,132,309,311,26,37,540,27,10,126,55,158
1110004F10Rik,345,752,771,117,256,962,301,65,251,188,813
1110006O24Rik,32,31,31,11,1,92,45,0,8,3,45
1110008F13Rik,14,24,16,4,19,27,4,3,8,5,63
1110008L16Rik,102,170,178,13,16,242,16,9,36,26,112
1110008P14Rik,137,147,216,155,200,354,131,93,165,177,1133
1110012L19Rik,38,85,88,15,27,80,22,12,43,20,291
1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0
1110017D15Rik,0,0,1,0,0,0,0,0,0,0,2
1110019D14Rik,6,7,2,0,2,10,6,0,3,0,8
1110020A21Rik,0,4,2,5,0,17,40,0,1,6,14
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,0,7,2,0,1,23,0,2,0,8,15
1110028F18Rik,9,1,0,1,0,1,0,0,1,0,0
1110032A03Rik,44,101,92,6,32,84,66,4,19,15,106
1110032F04Rik,0,0,1,0,0,27,0,0,15,42,90
1110034G24Rik,40,47,76,16,64,47,111,22,92,74,307
1110036E04Rik,0,0,0,0,0,0,0,0,0,0,0
1110037F02Rik,160,311,256,110,147,433,160,85,171,162,703
1110038B12Rik,294,638,696,48,111,1018,53,17,147,55,179
1110038F14Rik,161,278,319,91,128,409,59,50,179,106,583
1110046J04Rik,0,0,0,0,2,4,1,1,0,0,8
1110051M20Rik,28,90,64,4,12,73,7,2,14,8,104
1110058D11Rik,0,0,0,0,0,0,0,0,0,0,0
1110059E24Rik,48,145,135,63,33,79,3,10,43,34,176
1110059G10Rik,78,222,170,39,88,236,92,28,72,45,306
1110065P20Rik,1,4,4,2,3,2,0,0,0,0,22
1190002N15Rik,38,111,93,9,39,293,11,16,23,39,158
1190003K10Rik,0,0,0,0,0,2,0,0,0,0,0
1190005I06Rik,0,0,0,0,0,0,0,0,0,0,0
1190007I07Rik,181,269,325,45,19,478,8,12,68,46,179
1300002E11Rik,70,26,27,56,12,267,68,36,63,64,94
1300017J02Rik,0,0,0,0,0,156,495,0,0,0,44
1500004A13Rik,9,10,7,6,0,13,2,0,14,5,13
1500009C09Rik,0,0,0,0,0,0,0,0,0,0,0
1500009L16Rik,93,14,19,1,1,5,0,1,17,4,25
1500011B03Rik,58,192,137,23,77,185,14,19,76,52,264
1500011K16Rik,233,380,390,69,80,536,30,6,125,89,383
1500012K07Rik,0,0,0,0,0,0,0,0,0,0,0
1500015A07Rik,14,33,38,9,16,54,12,1,19,8,81
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0
1500015O10Rik,0,0,0,0,0,0,0,0,0,0,0
1500017E21Rik,0,0,0,0,0,0,0,0,0,0,0
1500026H17Rik,0,3,4,2,0,7,2,0,1,1,18
1600002D24Rik,0,0,1,0,0,0,0,0,0,0,1
1600002H07Rik,124,175,167,23,26,360,128,12,20,12,107
1600002K03Rik,114,140,113,47,71,234,20,10,70,28,177
1600010M07Rik,11,10,5,0,70,1,0,6,0,0,618
1600012H06Rik,49,96,83,42,130,90,40,21,49,55,578
1600014C10Rik,105,215,284,38,310,108,5,16,178,117,1509
1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,99,156,124,124,87,146,76,32,157,146,205
1600023N17Rik,2,5,7,3,0,7,14,6,0,3,4
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,0,0,0,0,1,0,0,0,0,84
1600029O15Rik,8,4,6,5,4,10,0,0,8,4,12
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0
1700001C19Rik,0,1,0,0,0,3,0,1,1,1,1
1700001D01Rik,0,0,0,0,0,0,0,0,0,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,11,4,1,0,0,4,0,2,3,0,6
1700001G17Rik,13,5,5,0,0,5,4,0,2,0,11
1700001J03Rik,0,0,1,2,0,3,3,1,3,9,1
1700001J11Rik,0,0,0,1,0,0,0,0,0,0,0
1700001K19Rik,0,0,2,0,0,0,0,0,0,0,0
1700001K23Rik,1,0,0,0,0,0,18,0,0,0,4
1700001L05Rik,6,20,26,1,4,214,27,9,4,2,28
1700001L19Rik,1,0,0,0,0,0,0,0,0,0,0
1700001O22Rik,1,9,1,0,0,0,0,0,14,1,10
1700001P01Rik,0,0,1,0,0,0,1,0,0,0,0
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,0,0,0,0
1700003E16Rik,0,0,0,0,0,0,0,0,0,0,3
1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0
1700003F12Rik,0,1,0,0,0,0,1,0,0,9,65
1700003G13Rik,0,0,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0,0,0,0,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0
1700003M07Rik,0,0,1,0,0,0,0,0,0,0,1
1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0
1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0
1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,1,0,0,0,0,0,0,0,0,0,0
1700007F19Rik,0,0,0,0,0,0,0,0,0,0,0
1700007G11Rik,0,0,0,0,0,2,0,0,0,0,0
1700007J10Rik,0,1,0,1,1,4,0,2,3,3,0
1700007K09Rik,0,0,0,0,0,0,1,0,0,0,0
1700007K13Rik,0,2,0,0,0,0,0,0,0,0,0
1700007L15Rik,17,60,63,6,7,81,5,7,30,12,59
1700007P06Rik,0,0,0,0,0,0,0,0,0,0,3
1700008C04Rik,0,0,1,0,0,0,0,1,0,0,6
1700008J07Rik,69,126,83,19,13,60,7,7,35,16,107
1700008K24Rik,0,0,0,0,0,0,0,0,0,0,0
1700008O03Rik,10,7,18,0,1,6,0,0,1,2,24
1700008P02Rik,0,0,0,0,0,0,0,0,0,0,0
1700009C05Rik,0,0,0,0,0,0,0,0,0,0,0
1700009J07Rik,0,0,0,0,0,0,0,0,0,0,20
1700009N14Rik,0,0,0,0,0,0,0,0,0,0,0
1700010B08Rik,0,0,0,0,0,0,0,0,0,0,0
1700010D01Rik,0,0,0,0,0,0,0,0,0,0,0
1700010I02Rik,0,0,0,0,0,0,0,0,0,0,3
1700010I14Rik,2,44,55,8,4,49,0,2,20,9,132
1700010J16Rik,0,0,0,0,0,0,0,0,0,0,0
1700010K23Rik,0,0,0,0,0,0,0,0,0,0,0
1700011B04Rik,0,0,0,0,0,0,0,1,0,0,15
1700011C11Rik,0,0,0,0,0,0,0,0,0,0,0
1700011E24Rik,0,0,0,0,0,0,0,0,0,0,2
1700011H14Rik,0,0,0,0,0,0,0,0,0,0,0
1700011I03Rik,0,0,0,0,0,0,0,1,0,0,6
1700011L22Rik,0,0,0,0,0,0,0,0,0,0,1
1700011M02Rik,0,0,0,0,0,0,0,0,0,0,0
1700012A03Rik,0,0,0,0,0,0,0,0,0,0,0
1700012B07Rik,0,0,0,0,0,6,0,0,0,4,0
1700012B09Rik,4,17,48,0,2,0,0,0,0,0,3
1700012C14Rik,0,0,0,0,0,1,0,0,0,0,1
1700012D01Rik,1,7,10,2,1,1,0,0,2,4,11
1700012D14Rik,0,3,0,1,1,4,0,1,0,3,8
1700012D16Rik,0,0,0,0,0,0,0,0,0,0,0
1700012H19Rik,0,0,0,0,0,0,0,0,0,0,0
1700012I11Rik,0,0,0,0,0,0,0,0,0,0,0
1700012L04Rik,0,2,0,0,0,3,3,0,1,1,3
1700012P22Rik,0,0,0,0,0,0,0,0,0,0,0
1700013D24Rik,0,0,0,0,0,0,0,0,0,0,0
1700013F07Rik,0,0,0,0,0,0,0,0,0,0,0
1700013G24Rik,0,0,0,0,0,0,0,0,0,0,0
1700013H16Rik,0,0,0,0,0,0,0,0,0,0,0
1700015E13Rik,0,1,0,0,0,0,1,0,0,0,1
1700015F17Rik,2,0,0,0,0,0,0,0,1,0,0
1700015G11Rik,0,0,0,0,0,0,0,0,0,0,0
1700016C15Rik,0,0,0,0,0,0,0,0,0,0,0
1700016D06Rik,1,2,0,0,0,0,0,0,0,0,1
1700016G22Rik,0,0,1,0,0,0,0,0,0,1,0
1700016H13Rik,2,0,0,0,0,0,0,0,0,0,0
1700016K19Rik,1,0,1,0,0,0,0,0,7,1,1
1700016L04Rik,0,0,0,0,0,0,0,0,0,0,0
1700016L21Rik,0,0,0,0,0,0,0,0,0,0,0
1700016P04Rik,0,0,0,0,0,0,0,0,0,0,0
1700017B05Rik,85,363,344,27,51,573,151,6,66,72,342
1700017D01Rik,0,1,0,0,0,0,0,0,0,0,0
1700017G19Rik,0,0,0,0,0,0,0,0,0,0,0
1700017J07Rik,0,0,0,0,0,0,0,0,0,0,0
1700017L05Rik,0,0,0,0,0,0,0,0,0,0,0
1700017N19Rik,0,1,0,0,0,0,0,0,0,0,0
1700018A04Rik,0,0,0,0,0,0,0,0,0,0,0
1700018B08Rik,0,0,0,1,0,0,0,0,1,0,0
1700018B24Rik,0,0,0,0,0,0,0,0,0,0,0
1700018C11Rik,0,0,0,0,0,0,0,0,0,0,0
1700018F24Rik,0,0,0,0,0,0,0,0,0,0,0
1700018G05Rik,0,0,0,0,0,0,0,0,0,0,0
1700018L02Rik,0,6,15,0,0,4,0,2,0,0,10
1700019A02Rik,0,0,0,0,0,0,0,0,0,0,0
1700019B03Rik,0,0,1,0,0,2,0,0,0,0,1
1700019B21Rik,0,0,0,0,0,0,0,0,0,0,0
1700019C18Rik,0,0,0,0,0,0,0,0,0,0,0
1700019D03Rik,3,4,4,3,0,1,0,0,8,2,40
1700019E08Rik,0,0,0,0,0,0,0,0,0,0,0
1700019G24Rik,0,0,0,0,0,0,0,0,0,0,0
1700019M22Rik,0,0,0,0,0,0,0,0,0,0,0
1700019N19Rik,0,0,0,0,0,0,0,0,0,0,0
1700019O17Rik,0,0,0,0,0,0,0,0,0,0,0
1700020A23Rik,0,0,0,0,0,0,0,0,0,0,0
1700020D05Rik,0,1,6,1,2,5,11,1,9,4,23
1700020D14Rik,0,0,0,0,0,0,0,0,0,0,0
1700020G17Rik,0,0,0,0,0,0,0,0,0,0,0
1700020I14Rik,59,129,161,15,60,223,331,26,68,33,549
1700020L24Rik,0,1,7,0,1,1,0,0,0,0,3
1700020M21Rik,0,0,4,0,0,0,0,0,0,0,0
1700020N01Rik,0,0,0,0,0,0,0,0,0,0,0
1700020N15Rik,0,0,0,0,0,0,0,0,0,0,0
1700020N18Rik,0,0,0,0,0,0,0,0,0,0,2
1700021F05Rik,92,178,163,29,67,333,65,17,39,46,225
1700021F07Rik,0,0,0,0,0,0,0,0,0,0,0
1700021N21Rik,0,0,0,0,0,0,1,0,0,0,0
1700022A21Rik,0,0,0,0,0,0,0,0,0,0,0
1700022A22Rik,0,0,0,0,0,0,0,0,0,0,0
1700022E09Rik,0,0,0,0,0,0,0,0,0,0,0
1700022H01Rik,0,0,0,0,0,0,0,0,0,0,0
1700022H16Rik,0,0,0,0,0,0,0,0,0,0,0
1700022I11Rik,0,0,0,0,0,0,0,0,0,0,0
1700023C21Rik,0,0,0,0,0,0,0,0,0,0,0
1700023F02Rik,0,1,0,0,0,0,0,0,0,0,0
1700023F06Rik,0,0,0,0,0,0,0,0,0,0,2
1700024B18Rik,0,0,0,0,0,0,0,0,0,0,0
1700024F13Rik,10,39,33,0,0,18,0,0,0,0,3
1700024G13Rik,0,0,0,0,0,0,0,0,0,0,0
1700024I08Rik,0,0,0,0,0,0,0,0,0,0,0
1700024N05Rik,0,0,0,0,0,0,0,0,0,0,0
1700024P04Rik,0,0,0,0,0,0,0,0,0,0,0
1700024P16Rik,0,2,3,0,0,0,0,0,0,0,18
1700025B11Rik,0,0,0,0,0,0,0,0,0,0,1
1700025C18Rik,1,1,0,0,0,1,0,0,0,0,0
1700025F22Rik,0,0,0,0,0,0,0,0,0,0,0
1700025F24Rik,0,0,0,0,0,0,0,0,0,0,0
1700025G04Rik,87,582,313,2,187,28,3,170,172,87,500
1700025J12Rik,0,0,0,0,0,0,0,0,0,0,0
1700025K24Rik,0,0,0,0,0,1,0,0,0,0,0
1700025M24Rik,0,0,0,0,0,0,0,0,0,0,0
1700025N23Rik,4,1,0,0,3,1,4,0,0,0,5
1700026D11Rik,0,1,0,0,0,0,0,0,1,0,0
1700026F02Rik,0,0,0,0,0,0,0,0,0,0,0
1700026J14Rik,0,0,0,0,0,0,0,0,0,0,0
1700026L06Rik,5,12,12,2,11,0,0,10,0,0,47
1700027A15Rik,0,0,0,0,0,0,0,0,0,0,0
1700027F06Rik,0,0,0,0,0,0,0,0,0,0,0
1700027F09Rik,0,0,0,0,0,0,0,0,0,8,0
1700027H10Rik,0,0,0,0,0,0,0,0,0,0,0
1700027I24Rik,0,0,0,0,0,0,0,0,0,0,0
1700027J07Rik,0,0,0,0,0,0,1,0,0,0,0
1700028B04Rik,0,0,0,0,0,1,0,0,0,0,0
